"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Bắt ruồi","Bèo đất, Cỏ trói gà","Drosera burmanni Vahl.","Bắt ruồi - Droseraceae","Cây thảo cao 5-30cm; thân nhẵn gầy, không mang lá nhưng mang hoa ở ngọn. Lá xếp thành hình hoa thị ở gốc sát đất; phiến lá dài 12mm, rộng 4mm, mặt lá phủ dầy lông tuyến để hút sâu bọ. Hoa đều, lưỡng tính, nhỏ, màu tím nhạt; đài 5; tràng 5; nhị 5; bầu 3 lá noãn hàn liền nhau bởi mép bên. Quả nang mở bằng 3 mảnh vỏ có nhiều hạt xốp. Ra hoa tháng 3-4.","Toàn cây - Herba Droserae.","Loài phân bố ở Ấn Độ, Trung Quốc, Việt Nam và châu úc. Ở nước ta cây rất phổ biến trên đất chua, tại các tỉnh Bắc Thái, Vĩnh Phú, Hà Nội, Quảng Ninh, Thanh Hoá, Nghệ An, Ninh Thuận, Lâm Ðồng, Sông Bé, Bến Tre. Thu hái toàn cây quanh năm, rửa sạch, phơi hay sấy khô.","Có naphthoquinon.","Vị đắng, tính mát; có tác dụng giảm co giật, trừ ho gà, gây sung huyết da mạnh.","Dùng làm thuốc trấn kinh, giảm co giật, chữa ho gà, chữa ho. Ở Campuchia người ta dùng để chế một loại thuốc trị bệnh nấm.","Liều dùng 2-4g dạng thuốc sắc.",""
"Bầu","","Lagenaria siceraria (Molina) Standl","Bầu bí - Cacurbitaceae","Dây leo thân thảo có tua cuốn phân nhánh, phủ nhiều lông mềm màu trắng. Lá hình tim rộng, không xẻ thuỳ hoặc xẻ thuỳ rộng, có lông mịn như nhung màu trắng; cuống có 2 tuyến ở đỉnh. Hoa đơn tính cùng gốc, to, màu trắng, có cuống hoa dài tới 20cm. Quả mọng màu xanh dợt hay đậm, có hình dạng khác nhau hoặc tròn, dài thẳng hoặc thắt eo, vỏ già cứng hoá gỗ, thịt trắng. Hạt trắng, dài 1,5cm. Có nhiều thứ được trồng, khác nhau bởi hình dạng và kích thước của quả: - Ở var siceraria, quả hình bầu to. - Ở var hispida (Thunb) Hara, quả hình trụ, có đốm, dài đến 1m (Bầu sao). - Ở var microcarpa (Naud) Hara, quả thắt co lại như bầu rượu (Bầu nậm); Loại này để chín già có thể làm bình đựng nước, đựng rượu, làm dàn bầu.","Quả và hạt - Fructus et Semen Lagenariae. Quả thường có tên gọi là Hồ lô. Rễ, lá, tua cuốn, hoa cũng được sử dụng.","Loài của Nam Mỹ, ngày nay đã trở thành liên nhiệt đới, được trồng phổ biến ở các vùng nóng trên thế giới. Quả thường được dùng làm rau ăn luộc hoặc nấu canh; lá cũng dùng làm rau ăn chống đói. Người ta thường thả giàn; bầu mọc rất khoẻ, sinh nhiều rễ phụ ở các đốt thân. Bầu ưa đất cao ráo. Nếu trồng đúng thời vụ (tháng 10) và chăm sóc tốt, bầu cho nhiều quả, ít ruột, năng suất cao. Nếu ăn quả lúc còn non, hạt nhỏ, vỏ mềm; nếu để già thì nạc có vị chua và có xơ. Người ta cắt bầu thành khoanh, gọt bỏ vỏ cứng, loại bỏ hạt già, rồi thái miếng nhỏ dựng tươi, có khi đem phơi khô để cất dành. Hạt thu hái ở quả già, phơi khô.","Quả tươi chứa 95% nước, 0,5% protid, 2,9% glucid, 1% cellulos, 21mg% calcium, 25% phosphor, 0,2mg% sắt và các vitamin: caroten 0,02mg%, vitamin B1: 0,02mg%, vitamin B2 0,03mg%, vitamin PP 0,40mg% và vitamin C 12mg%. Trong quả còn có saponin. Quả bầu là nguồn tốt về vitamin B và vitamin C. Nhân hạt già chứa tới 45% dầu béo.","Quả bầu có vị ngọt, tính lạnh, có tác dụng giải nhiệt, giải độc, thông tiểu, tiêu thũng, trừ ngứa. Lá bầu có vị ngọt, tính bình, có thể làm thức ăn chống đói. Tua cuốn và hoa bầu có tác dụng giải nhiệt độc. Còn có thứ bầu đắng, tính lạnh, hơi độc, có tác dụng lợi tiểu, thông đái dắt, tiêu thũng.","Bầu là món ăn phổ biến của nhân dân ta. Ta thường dùng thịt quả ăn luộc, nấu canh hoặc xào. Bầu luộc ăn mát lại trị được bón kết. Nước luộc bầu để uống mát và thông đường tiểu tiện. Nhiều bộ phận của cây bầu được sử dụng làm thuốc. - Thịt quả bầu dùng chữa đái dắt, chứng phù nề (nhưng trong chứng sưng ống chân và chứng đầy hơi, nếu ăn thì lâu khỏi). Còn dùng chữa bệnh tiêu khát (đái đường), đái tháo và máu nóng sinh mụn lở. Ở Ấn Độ, người ta dùng đắp vào bàn chân đang sưng tấy. - Rễ được dùng ở Ấn Độ làm thuốc trị phù. Nước sắc có thêm đường dùng uống chữa chứng vàng da. - Tua cuốn và hoa cây bầu dùng nấu nước tắm cho trẻ em để phòng ngừa đậu, sởi, lở ngứa. - Hạt bầu dùng chữa lợi răng sưng đau, tụt lợi, chân răng lộ ra, dùng với Ngưu tất, mỗi vị 20g, nấu lấy nước ngậm và súc miệng, ngày 3-4 lần. Ở Ấn Độ, người ta dùng hạt bầu trong bệnh phù và dùng làm thuốc trị giun, dầu hạt dùng trị đau đầu.","","Ghi chú: Bầu tính lạnh, ăn nhiều thì sinh nôn tháo. Người hư hàn, lạnh dạ nên kiêng."
"Bầu đất","Kim thất, Rau lúi, Rau bầu đất","Gynura procumbens (Lour) Merr. (G. sarmentosa DC)","Cúc - Asteraceae","Cây thảo mọc bò và hơi leo, cao đến 1m. Thân mọng nước, phân nhiều cành. Lá dày, dòn, thuôn, xanh lợt ở mặt dưới, hơi tía ở mặt trên và xanh ở các gân, dài 3-8cm, rộng 1,5-3,5cm, khía răng ở mép; cuống dài cỡ 1cm. Cụm hoa ở ngọn cây, gồm nhiều đầu màu tía, các hoa trong đầu hoa hình ống, màu vàng da cam. Quả bế có ba cạnh, mang một mào lông trắng ở đỉnh. Cây ra hoa kết quả vào mùa xuân-hè.","Toàn cây - Herba Gynurae Procumbentis.","Hầu hết phân bố ở nhiều nước châu á như Ấn Độ, Inđônêxia, Thái Lan, Philippin và Việt Nam. Ở nước ta, bầu đất mọc hoang dại, nhưng cũng thường được trồng làm rau ăn và làm thuốc. Người ta thu hái cả cây vào mùa hạ, dùng tươi hay phơi khô.","","Bầu đất có vị đắng thơm, tính mát; có tác dụng thanh nhiệt giải độc, lợi tiểu, tiêu viêm.","Người ta dùng cành lá, ngọn non chần qua nước sôi, xào hoặc nấu canh cua; cũng dùng làm rau trộn dầu giấm. Canh bầu đất được xem như là bổ, mát. Bầu đất được dùng làm thuốc để chữa: 1. Ðái són, đái buốt; 2. Phụ nữ viêm bàng quang mạn tính, khí hư bạch đới, bệnh lậu, kinh nguyệt không đều; 3. Trẻ em đái dầm và ra mồ hôi trộm; 4. Sốt phát ban (sởi, tinh hồng nhiệt) và lỵ. Dùng ngoài trị đau mắt đỏ. ở Campuchia, thân và lá bầu đất dùng phối hợp với những vị thuốc khác để hạ nhiệt, trong chứng sốt phát ban như các bệnh sởi, tinh hồng nhiệt. Ở Malaixia, người ta cũng dùng lá ăn trộn với dầu giấm và cũng dùng cây để trị lỵ. Còn ở Java người ta dùng nó để trị bệnh đau thận.","","1. Ðái són, đái buốt, trẻ em đái dầm: Bầu đất tươi 80g, sắc nước uống.
2. Chữa phụ nữ viêm bàng quang, khí hư, bạch đới: Bầu đất sắc nước uống với bột Thổ tam thất và ý dĩ sao với liều bằng nhau, mỗi lần 10-15g ngày uống 2 lần."
"Bầu đất dại","Kim thất giả, Thổ tam thất, Ngải rít","Gynura pseudocchina (L.) DC.","Cúc Asleraceae","Cây thảo mọc đứng, nhẵn nhiều hay ít, có rễ nạc tròn, có thớ, nom như dạng củ Tam thất. Lá mọc từ gốc hình trái xoan ngược hay thuôn, gân nhẵn hay có lông phấn, chóp tròn, gốc thót lại hẹp dài, mép hầu như nguyên, lượn sóng hay xẻ thuỳ lông chim, dài 10-15cm, rộng 1,5-5cm. Cụm hoa hình rổ màu vàng, xếp 4-5 cái thành ngù ở ngọn cây; bao chung có nhiều hàng lá bắc có hình dạng khác nhau. Quả bế hình trụ dài 2,5mm, có 10 cạnh.","Toàn cây, nhất là củ - Radix Gynurae; thường gọi là Thổ tam thất, Nam bạch truật.","Cây mọc phổ biến trong các savan cỏ khô hạn khắp Ðông Dương và cũng phổ biến ở Ấn Độ, Inđônêxia, Thái Lan, Trung Quốc. Ở nước ta, thường gặp ở vùng núi Quảng Trị, Lâm Ðồng, Tây Ninh cho tới đồng bằng. Có nơi trồng để lấy củ. Ðào lấy củ, cắt bỏ rễ con, rửa sạch, thái lát phơi hay sấy khô, cũng thường dùng tươi.","","Lá cây có tính làm dịu và tan sương có tác dụng giải nhiệt và tiêu độc. Củ có tính bổ dưỡng, điều huyết. Ở Hải Nam (Trung Quốc), người ta cho rằng rễ chống ho, làm mát máu, sinh tân dịch.","Thân và lá có thể dùng làm rau ăn như rau bầu đất, vừa mát lại giải nhiệt. Người ta thường dùng cây lá giã nát đắp trên các mụn nhọt để làm tan sưng và trị viêm quầng. Dịch lá dùng làm thuốc súc miệng để trị viêm họng. Nhưng cách sử dụng thông thường nhất là dùng rễ củ phơi hay sấy khô tán nhỏ thành bột và chiên với nước trà làm thuốc uống cho phụ nữ sinh nở để điều hoà huyết; cũng có tác dụng bổ. Theo Poilane, lá cây có tác dụng ngăn thụ thai. Người ta còn dùng củ sắc uống làm thuốc trị sốt rét, nên ở vùng Lai Vung tỉnh Ðồng Tháp có tên gọi là Ngải rét; có khi còn dùng làm thuốc đắp vào tay người bệnh khi lên cơn. Rễ còn được dùng trị xuất huyết tử cung, lỵ và tiêu viêm các vết thương. Ở Ấn Độ, cây được dùng làm thuốc dịu, tan sưng, dùng chữa viêm quầng và u bướu ở vú. Dịch lá làm thuốc súc miệng dùng khi bị viêm họng.","",""
"Bầu đất hoa vàng","Kim thất giả","Gynura divaricata (L.) DC.","Cúc - Asteraceae","Cây thảo lưu niên cao 30-50cm, có rễ củ. Lá chụm ở gốc, phiến thon, nguyên hay có thuỳ khá sâu, mép có vài răng thưa, có ít lông hay không lông, gân phụ 5-6 cặp; cuống 1-2cm. Chùm 3-5 cụm hoa hình rổ cao 1-1,5cm, màu vàng tươi. Quả bế cao 2,5mm; mào lông gồm nhiều tơ mịn màu trắng. Mùa hoa quả: tháng 2-6.","Toàn cây - Herba Gynurae Divaricatae; thường có tên là Bạch tử thái.","Cây mọc ở vùng núi và trong các savan có ở nhiều nơi, từ Lạng Sơn, Bắc Thái, Hà Tây, Ninh Bình, qua Quảng Trị, Quảng Nam- Ðà Nẵng đến các tính Tây Nguyên như Kontum, Gia Lai, Lâm Ðồng và vài nơi khác ở Nam Bộ Việt Nam. Cũng phân bổ ở Ấn Độ, Trung Quốc, Lào, Campuchia, Thái Lan, Inđônêxia. Có thể thu hái toàn cây quanh năm, tốt nhất là vào mùa hè - thu. Rửa sạch, thái nhỏ, dùng tươi hay phơi khô.","","Vị ngọt và nhạt, tính hàn, hơi có độc; có tác dụng tiêu viêm, tiêu thũng, lương huyết, tiêu ứ...","Thường dùng trị: 1. Viêm phế quản, lao phổi, ho gà; 2. Ðau mắt, đau răng; 3. Thấp khớp đau nhức xương; 4. Xuất huyết tử cung. Dùng ngoài lấy cây tươi giã đắp trị đòn ngã tổn thương, đứt gãy, vết thương chảy máu, viêm vú, nhọt và viêm mủ da, loét chân, bỏng nước, bỏng lửa.","Liều dùng 10-15g, dạng thuốc sắc, hoặc ngâm rượu uống.",""
"Bầu nâu","Cây trái nấm","Aegle marmelos (L.) Correa","Cam - Rutaceae","Cây gỗ rụng lá có thân hình trụ cao đến 15m, vỏ thơm màu vàng đen đen lại trên thân già, có nhánh mảnh, hơi thòng, với gai to ở nách, đơn hay xếp từng đôi màu vàng, có mũi nhọn đen. Lá có 3 lá chét thuôn, hình ngọn giáo, có mũi cứng cong ở đầu, có mép uốn lượn, cái cuối cùng lớn hơn, có mùi của lá cam. Hoa lớn, màu trắng, rất thơm, xếp thành chùm ở nách lá, đơn hay kép. Quả mọng, treo, đường kính 6-8cm, hình cầu dẹp hay dạng trứng, màu lục. Vỏ quả nhẵn và cứng bao phủ một lớp cơm nhầy, chia ra 10-15 ô, chứa mỗi ô 6-10 hạt thuôn, dẹp, có lớp lông màu trắng.","Quả, lá và vỏ - Fructus, Folium et Cortex Aegles.","Cây trồng ở các tỉnh phía Nam của nước ta, ở Campuchia và Lào. Ở Ấn Độ, cây mọc hoang khá phổ biến ở phần Nam dãy Himalaya và được trồng khắp cả nước.","Cây có hàm lượng tanin cao; 9% trong thịt, 20% trong vỏ cây. Vỏ thân non chứa coumarin 0,03%, alcaloid 0,003% và umbelliferon. Vỏ già chứa umbelliferon và coumarin 0,6% - fragrine 0,3%, marmesin 0,6%.. Lõi gỗ chứa một alcaloid feroquinoline, dictamin, một dihydrofurocoumarin, marmesin và- sitosterol. Quả chứa marmalosin là hoạt chất chính, nó tương đồng với imperatorin; còn có một tinh dầu có d-(-phellandren và cả allo-imperatorin và b-sitosterol; còn là có cả carbohydrat.","Quả xanh làm săn da. Thịt quả nhuận tràng giúp tiêu hoá, lại chỉ tả, trừ lỵ.","Thịt quả chín thơm, ăn mát, chữa táo bón, lỵ, trị lao và bệnh về gan. Quả chưa chín hay mới chín tới, se, bổ tiêu hoá, dùng trị ỉa chảy. Thịt quả có thể ăn tươi hay chế xirô. Lá nón ăn được như rau gia vị, nhưng khó tiêu, làm cho phụ nữ khó thụ thai, tuy nhiên các lá này lại gây sẩy thai ở phụ nữ mang thai. Ở các nước Ðông Dương, Ấn Độ, Inđônêxia, lá được dùng trị sốt rét. Còn dùng phối hợp v?i tr?u không, chanh trị ghẻ và vết thương. Giã ra, hơ nóng làm thuốc đắp trị đau mắt, ở Ấn Độ, vỏ rễ được dùng trị sốt rét gián cách và làm thuốc duốc cá.","",""
"Bảy lá một hoa","","Paris polyphylla Sm var chinensis (Franch) Hara","Bảy lá một hoa - Trilliaceae","Cây thảo sống nhiều năm, cao 30-100cm, thường có 5-8 lá ở 2/3 trên. Lá có phiến hình trái xoan ngược dài 7-17 cm, rộng 2,5-5cm hay hơn, gốc tròn, chóp có mũi; cuống lá 5-6cm. Hoa mọc đơn độc ở ngọn thân trên một trục cao 70-80 cm. Lá đài màu xanh nom như lá; cánh hoa dạng sợi dài bằng đài, màu vàng. Quả mọng, cao 3cm, hạt to màu vàng. Ra hoa tháng 3-7, quả tháng 8-12.","Thân rễ - Rhizoma Paridis Chinensis, thường gọi là Tảo hưu hay Thất diệp nhất chi hoa.","Cây mọc hoang ở những vực khe ẩm tối, gần suối ở độ cao trên 600m. Gặp nhiều ở Lào Cai (Sapa), Ninh Bình (Cúc Phương), Bắc Thái (Ðại Từ), Lạng Sơn, Hoà Bình, Hà Bắc. Cũng mọc nhiều ở Trung Quốc với nhiều thứ khác nhau. Thu hái rễ quanh năm, nhưng tốt nhất vào mùa thu đông, rửa sạch phơi khô.","Có diosgenin, pennogenin.","Vị đắng, tính lạnh; có tác dụng thanh nhiệt giải độc, tiêu sưng viêm.","Thường dùng trị: 1. Rắn độc cắn và sâu bọ đốt; 2. Viêm não truyền nhiễm; 3. Viêm mủ da; 4. Lao màng não; 5. Hen suyễn. Còn dùng trị yết hầu, bạch hầu, trẻ em lên sởi có viêm phổi, quai bị, lòi dom. Ở Trung Quốc, dân gian cho là thuốc chỉ đau, giải nhiệt và giải độc, có khả năng trị kinh phong, lắc đầu, lè lưỡi. Cũng có thể trị bệnh phổi và độc giang mai. Dân gian thường dùng làm mát khi bị sưng đau và hen suyễn.","Ngày dùng 6-15g.","Ghi chú: Cây có độc, khi dùng phải thận trọng."
"Bên bai","","Hunteria zeylanica (Retz.) Cardner ex Thw. (II. corymbosa Roxb.)","Trúc đào - Apocynaceae","Cây nhỡ hay gỗ nhỏ cao 3-5m có nhựa mủ trắng và gỗ vàng; nhánh có sẹo lá lồi lên. Lá thuôn, thuôn- ngọn giáo, nhọn mũi hay hơi có đuôi và tù ở đầu, nhọn ở gốc, bóng loáng ở mặt trên; cuống dài 1,5cm. Hoa trắng, rất thơm, thành xim ở ngọn dạng ngù. Quả do 2-1 quả mọng hình cầu, đường kính 2cm, nhẵn. Hạt hình trứng, phẳng lồi, sần sùi, màu nâu, dài 12mm, rộng 8mm, dày 5mm; nội nhũ dày, nạc.","Vỏ - Cortex Hunteriae.","Loài cây phân bố ở Ấn Độ, Trung Quốc và Việt Nam. Ở nước ta, cây mọc từ Lạng Sơn, Hoà Bình đến Thừa Thiên - Huế, Bà Rịa-Vũng Tàu và tương đối phổ biến ở miền Nam.","Trong vỏ có 0,3% một alcaloid rất độc. Lá có phản ứng của corymin.","","Cây được dùng chữa huyết áp cao như một số loài cây khác trong họ Trúc đào.","","",""
"Bèo cái","Bèo ván, Bèo tai tượng","Pistia stratiotes L.","Ráy - Araceae","Cây thảo thuỷ sinh nổi. Thân đâm chồi, mang các nhánh ngắn, có lá mọc chụm lại. Lá màu lục tươi, có nhiều lông như nhung và không thấm nước. Buồng hoa nhỏ độ 1cm, màu lục nhạt. Mo màu trắng. Mỗi buồng chỉ mang 2 hoa trần: hoa đực ở phần trên với 2 nhị dính nhau; ở phần giữa có hoa lép thành vẩy; hoa cái ở dưới có bầu 1 ô, chứa nhiều noãn thẳng. Quả mọng chứa nhiều hạt.","Toàn cây - Herba Pistiae.","Loài liên nhiệt đới, sống trôi nổi trong các ao hồ, sinh sản sinh dưỡng mạnh bằng cách mọc nhánh ngang và nẩy chồi thành cây mới. ít khi gặp cây có hoa. Thu hái toàn cây quanh năm, thường dùng tươi, không phải chế biến gì đặc biệt.","Bèo cái chứa 93,13% nước; 6.87% chất khô; 5,09% chất hữu cơ, 0,63% protid thô, 0,29% chất béo thô, 1,24% cellulos, 2,93% chất không chứa nitrogen, 1,78% tro, 0,185% phosphor, 1,80% calcium. Trong tro hầu hết là muối kali (75% kali chlorua, 25% kali sulfat). Toàn cây bèo cái có một chất gây ngứa tan trong nước.","Bèo cái có vị cay, tính lạnh; có tác dụng giải biểu cho ra mồ hôi và thanh nhiệt, lợi tiểu, tiêu độc.","Bèo cái là vị thuốc dân gian. Nhân dân thường dùng loại bèo có mặt dưới tía làm thuốc uống trong chữa mẩn ngứa, tiêu độc mụn nhọt, chữa ho, hen suyễn, thông kinh, chữa đái buốt, đái dắt... Còn dùng ngoài để rửa mụn nhọt, mẩn ngứa và giã đắp ezema. Bèo khô dùng hun trừ muỗi.","Thường dùng bèo cái phơi khô, sao, sắc nước uống, mỗi ngày 10-20g. Dùng ngoài nấu nước rửa.","1. Chữa đau mặt sưng ngứa, đau mắt, khắp mình nổi mẩn ngứa hoặc sưng phù, dùng Bèo cái bỏ rễ, Bạc hà, Kinh giới mỗi thứ một nắm (30g) sắc uống và xông rửa.
2. Chữa phù thũng mới phát: Bèo cái một nắm sắc uống.
3. Chữa hen suyễn, dùng 100g Bèo cái tươi, bỏ rễ, giã nát vắt lấy nước, pha với xirô chanh, ngày dùng 1-2 lần 100ml, điều trị trong 2-3 tháng. Có người còn dùng bèo nấu với cơm nếp ăn trị hen.
4. Chữa eczena, dùng Bèo cái, rửa sạch, thêm muối giã nát, đắp ngày một lần, trong 7-10 ngày. Đồng thời với việc đắp ở bên ngoài, nên uống những thang thuốc giải độc có Kim ngân hoa, Bồ công anh.
5. Chữa mẩn ngứa, dùng 50g Bèo rửa sạch, sao vàng, sắc nước uống hàng ngày, trong 2-3 ngày.","Khi uống nước Bèo cái, có thể thấy ngứa cổ, nhưng sẽ quen dần. Bèo cái có khả năng chống dị ứng và không có độc."
"Bèo hoa dâu","Bèo hoa","Azolla imbricala (Roxb) Nakai","Bèo dâu - Azollaceae","Dương xỉ thủy sinh có tán nổi, màu lục hay đo đỏ. Thân mang rễ không có rễ phụ. Lá gần nhau, xếp theo hai hàng kết lợp, có 2 thuỳ, thuỳ dưới chìm, sinh sản. Bào tử quả mang các túi bào tử và túi bào tử nhỏ. Cây sinh sản bằng bào tử; bào tử mang nhiều phao nổi. Còn có loại Azolla caroliana Willd, có tán nhỏ hơn, màu tía hay lục già, mặt trên có mụn nhỏ, rễ dài đến 5cm.","Toàn cây - Herba Azollae.","Cây mọc hoang dại trên các ruộng lúa, ao hồ và cũng được trồng làm phân xanh bón lúa, làm thức ăn cho vịt. Cây sinh sản rất nhanh, tạo thành một thảm màu lục trên mặt nước.","","Có tác dụng kháng sinh, lợi tiểu.","Cả cây sắc uống chữa sốt, chữa ho và làm thuốc lợi tiểu tiện.","","",""
"Bèo lục bình","Bèo tây, Bèo Nhật Bản, Bèo sen","Eichhornia crassipes (Mart) Solms","Bèo lục bình - Pontederiaceae","Cây thảo sống nhiều năm, nổi ở nước hoặc bám trên đất bùn, mang một chùm rễ dài và rậm ở phía dưới. Kích thước cây thay đổi tuỳ theo môi trường sống có nhiều hay ít chất màu. Lá mọc thành hoa thị, có cuống phồng lên thành phao nổi, gân lá hình cung. Cụm hoa bông hay chuỳ ở ngọn thân dài 15cm hay hơn. Hoa không đều, màu xanh nhạt hay tím; đài và tràng cùng màu, hàn liền với nhau ở gốc, cánh hoa trên có một đốm vàng; 6 nhị (3 dài, 3 ngắn); bầu trên 3 ô, chứa nhiều noãn, nhưng chỉ có một cái sinh sản. Quả nang. Cây ra hoa từ mùa hạ tới mùa đông.","Phần của cuống lá phồng lên thành phao nổi - Petiolus Eichhorniae, hoặc dùng toàn cây - Herba Eichhorniae.","Cây gốc ở châu Mỹ (Brazin) năm 1905 được đem vào trồng làm cảnh ở Hà Nội. Về sau lan ra khắp nơi một cách nhanh chóng. Nhân dân ta thường dùng toàn cây làm phân xanh hoặc chất độn có phân chuồng và dừng chân nuôi lợn. Ðể dùng làm thuốc, lấy cây về, bỏ thân và rễ, chỉ lấy lá, chủ yếu là phần phình của cuống lá.","Người ta đã biết thành phần hoá học của Bèo lục bình theo tỷ lệ %: Nước 92,6, protid 2,9, glucid 0,9, xơ 22, tro 1,4, calcium 40,8mg%, phosphor 0,8mg%, caroten o,66mg% và vitamin C 20mg%.","Vị nhạt, tính mát; có tác dụng sơ phong thanh nhiệt, lợi niệu giải độc, tiêu sưng, giảm đau.","Bèo lục bình có thể dùng làm thức ăn cho người; người ta lấy cả đọt non và cuống lá mang về, rửa sạch, nấu canh, chỉ cần cho chín tái, không nên chín nhừ, dùng ăn mát, không ngứa. Bông hoa cũng ăn được, có thể dùng ăn sống hoặc nấu canh như các đọt non. Bèo lục bình dùng chữa sưng tấy, viêm đau như sưng bắp chuối bẹn, tiêm bị áp xe, chín mé, sưng nách, viêm tinh hoàn, viêm khớp ngón tay, viêm hạch bạch huyết vv.. Thường dùng phần phồng của cuống lá giã nát, thêm muối (5-8g trong 100 g bèo) đắp, bó. Ở Ấn Độ, hoa được dùng làm thuốc chữa bệnh về đường hô hấp. Nhân dân ta còn dùng Bèo lục bình làm thuốc chữa các vết thương trên cơ thể bị nhiễm chất độc hoá học. Dùng lá bèo rửa sạch, thêm muối giã nát, đắp dàn đều lên chỗ sưng rồi băng lại, phải quấn băng lỏng, đừng để chảy mất nước. Nên đắp cách đêm, từ tối hôm trước đến sáng hôm sau. Thường chỉ đắp 1-2 lần là hết đau nhức. Trong khi chữa không phải tiêm hay uống thuốc kháng sinh. Ở Trung Quốc, người ta dùng toàn cây làm thuốc trị cảm mạo phát nhiệt, tiểu tiện đỏ đau, phong chẩn, mụn nhọt sưng đỏ.","","","Gần đây người ta đã phát hiện các lợi ích khác của Bèo lục bình như: - Chống ô nhiễm nguồn nước. - Cung cấp năng lượng."
"Bèo ong","Bèo tai chuột","Salvinia cucullata Roxb.","Bèo ong - Salviniaceae","Cây mọc ở nước. Lá không có cuống, mọc thành cụm dày, phiến lá hình tam giác, chiều rộng lớn hơn chiều dài, gốc hình nêm hay hình tim, đầu cụt, cuộn lại dọc theo sống lá, như tổ ong, mặt dưới có lông, mặt trên có những nhú xếp sít nhau.","Toàn cây - Herba Salviniae.","Phổ biến ở Ðông Dương Ấn Độ, trong các ao đầm. Thu hái toàn cây quanh năm.","","Chưa có tài liệu nghiên cứu.","Nhân dân thường dùng cây làm rau nuôi lợn. Cũng là cây thuốc dân gian có tác dụng lợi tiểu, tiêu độc. Thường dùng cây sắc nước uống.","","",""
"Bèo tấm","Bèo cám","Lemna minor L.","Bèo tấm - Lemnaceae","Cây thuỷ sinh mọc nổi. Thân là tản hình thấu kính lồi rộng 4-5mm, mang một rễ và mọc chồi thành thân khác. ít thấy cụm hoa; thường chỉ là một mo, trong đó có 2 hoa đực với 2 nhị và một hoa cái với một bầu.","Toàn cây - Herba Lemnae.","Loài phổ biến khắp thế giới, mọc hoang ở các ao, đầm, vũng. Có thể thu hái cây quanh năm. Dùng tươi hay phơi khô.","","Là loại thuốc dân gian dùng giải nhiệt, làm ra mồ hôi, lợi tiểu, bạt sốt, cầm máu.","Thường dùng uống trong giải cảm sốt, chữa bí tiểu, đái buốt, đái dắt. Dùng ngoài chữa mụn nhọt, bệnh ngoài da.","Ngày dùng 10-20g sắc hoặc tán bột uống.","",""
"Bèo tấm tía","Bèo đánh trống","Spirodela polyrrhiza (L.) Schicil","Bèo tấm - Lemnaceae","Tản xoan hay tròn, rộng 6-8mm dài hơn ngang 1-1,5 lần, gân 7-16, khó nhận, mặt dưới đỏ, mỗi tản mang 7-21 rễ. Mo có hai môi; buồng mang hai nhị; noãn 1-2, đứng trong lá noãn.","Toàn cây - Herba Spirodelae; thường gọi là Phù bình.","Cây mọc trà trộn với các loại bèo khác trên ao hồ, ruộng khắp nơi.","","Vị cay, tính hàn; có tác dụng phát tán phong nhiệt, trừ phong chống ngứa, lợi tiểu, tiêu thũng.","Thường dùng trị sởi không mọc, mày đay, ghẻ ngứa, phù thũng, đái ít.","Liều dùng 3-9g dạng thuốc sắc. Dùng ngoài với lượng vừa phải, giã cây tươi đắp, rửa.","",""
