"chuong_so","tieu_de_chuong","ten_bai_thuoc","chua_tri","lieu_luong_cach_dung","cong_hieu","chu_y","ghi_chu","doi_tuong_phu_hop","luu_y","cong_dung_khac"
2,"Chữa Sốt Cao Sợ Gió","Bột Sừng Sơn Dương","Sốt cao, sợ gió.","Sừng sơn dương, sao khô, nghiền thành bột, mỗi lần uống 2.5g, ngày uống 2 lần.","","","","","",""
3,"Chữa Sốt Nhẹ","Nước Sơn Dược","Sốt nhẹ do âm hư, nóng trong (buổi chiều sốt, đêm ra mồ hôi trộm, lòng bàn tay, bàn chân nóng, mất ngủ, hay mơ, lưỡi đỏ, bựa lưỡi ít, mạch vi nhược).","Dùng 100g củ sơn dược tươi thái lát, sắc lấy 2 bát nước, uống thay nước chè.","Chữa trị ho khan, sốt nhẹ (bệnh lao), tỳ vượng, ỉa chảy.","","Không phải kiêng kị gì, già trẻ đều dùng được.","","",""
3,"Chữa Sốt Nhẹ","Nước Mía, Cháo Gạo","Sốt nhẹ do âm hư nóng trong (bệnh trạng như trên).","Lấy mía tươi, rửa sạch, ép lấy 100ml nước mía, cho vào 100g gạo tẻ nấu cháo. Mỗi ngày ăn 2-3 lần.","Khỏi sốt ra mồ hôi, khỏi ho.","Những người mắc chứng đái đường không được dùng.","","","",""
3,"Chữa Sốt Nhẹ","Cháo Lá Sen","Vào mùa hè sốt nhẹ (mùa hè sốt nhẹ, sang thu mát dần rồi tự khỏi, không ra mồ hôi, mệt mỏi, thân hình gầy còm, lưỡi đỏ, bựa lưỡi vàng).","Lấy 1 lá sen to tươi, rửa sạch, cho vào 500ml nước, sắc kỹ gạn lấy nước, cho vào 100g gạo tẻ, một ít nước đường trắng nấu thành cháo. Ăn vào 2 buổi sáng, chiều.","","","","Những người mắc chứng mùa hè sốt, huyết áp cao, mỡ trong máu nhiều, béo phì, đái tháo đường dùng bài thuốc này rất tốt.","",""
3,"Chữa Sốt Nhẹ","Bột Sắn Dây Nấu Cháo","Mùa hè sốt nhẹ (bệnh trạng như trên).","Củ sắn dây tươi, rửa sạch, vắt lấy bột. Cho 30g bột sắn, 100g gạo tẻ nấu thành cháo. Ăn điểm tâm vào 2 buổi sáng, chiều.","Chữa khỏi chứng mùa hè sốt, ngoại cảm sốt, khát nước.","","","","Không phải kiêng kỵ gì, mọi lứa tuổi đều dùng được.",""
3,"Chữa Sốt Nhẹ","Hoàng Kỳ, Táo Tàu, Gạo","Sốt nhẹ do khí huyết hư (bệnh trạng: sau mệt mỏi sốt nhẹ, nhức đầu, toát mồ hôi, dẫn đến cảm mạo, thân thể mệt mỏi, ăn ít, ỉa lỏng, nhạt miệng, bựa lưỡi trắng, mạch vi).","Hoàng kỳ tươi 30g, đẳng sâm 30g, cam thảo 15g, sắc lấy nước. Dùng 100g gạo tẻ, 10 quả táo, nấu thành cháo. Khi cháo chín nhừ, trộn nước thuốc vào quấy đều. Ăn vào 2 buổi sáng, chiều.","Chữa chứng khí hư sốt nóng rất hiệu quả. Người già, người trung tuổi cơ thể suy nhược có thể dùng thường xuyên, có tác dụng chữa sốt nhẹ, chữa khí huyết hư, và tăng cường thể lực kéo dài tuổi thọ.","Người bị ngoại cảm, sốt nóng không được dùng.","","","",""
3,"Chữa Sốt Nhẹ","Cháo Sơn Dược, Ý Dĩ, Mứt Hồng","Sốt nhẹ do âm hư nóng trong (bệnh trạng như trên).","Sơn dược tươi 100g, ý dĩ tươi 100g, mứt hồng 30g. Trước hết, giã nát sơn dược, ý dĩ nấu thành cháo, sau đó cho mứt hồng vào quấy đều. Ăn thường xuyên.","","","","Món cháo này dùng thích hợp với những người âm suy, tỳ phế hư, buổi chiều sốt nhẹ, ho khan, ít đờm, biếng ăn.","Những người âm hư, ra nhiều mồ hôi không nên dùng, vì mứt hồng không có lợi cho chứng âm suy, ra mồ hôi nhiều.",""
3,"Chữa Sốt Nhẹ","Ba Ba, Bối Mẫu, Tri Mẫu","Sốt cao.","Dùng 1 con ba ba khoảng 500g, bỏ đầu, mật, gan, chặt miếng, trộn với bối mẫu, tri mẫu, tiền hồ, tử hồ, hạnh nhân mỗi thứ 5g, cho vào một ít rượu, muối. Hấp trong 1 tiếng, ăn nóng.","Bổ âm, khỏi hư nhiệt.","","","","",""
4,"Trị Bốc Nhiệt","Chim Khách, Gà Mái","Bốc nhiệt.","Dùng 1 con chim khách, 1 con gà mái (bỏ lông, ruột). Hầm nhừ (không cho muối). Ăn hết thịt trong ngày. Mang tất cả xương gà, chim sao khô tán thành bột, chia làm 3 lần. Uống hết với rượu trong ngày. Điều trị liên tục 3 ngày.","","","","","",""
4,"Trị Bốc Nhiệt","Sứa Biển","Bốc nhiệt.","Dùng 50-100g sứa, nấu chín ăn hoặc làm thức ăn ăn với cơm.","Chữa khỏi âm hư, bốc nhiệt, háo nước, khô cổ.","","","","",""
4,"Trị Bốc Nhiệt","Thịt Sò Biển","Bốc nhiệt.","Thịt sò nấu chín ăn, có tác dụng bổ dưỡng âm, thanh nhiệt.","","","","","",""
4,"Trị Bốc Nhiệt","Hải Sâm, Mộc Nhĩ, Ruột Lợn","Bốc nhiệt.","Hải sâm, mộc nhĩ (thái nhỏ) nhồi vào khúc ruột già lợn, luộc chín kỹ.","","","","","",""
4,"Trị Bốc Nhiệt","Tiết Ba Ba Hòa Rượu","Bốc nhiệt.","Dùng 1 con ba ba còn sống, cắt tiết lấy máu hòa vào rượu nóng uống.","","","","","",""
5,"Chữa Sốt Rét","Cây Thanh Hao Ngâm Rượu","Sốt rét (sốt cao, rét dữ từng cơn).","Dùng 100g cây thanh hao tươi, giã vắt lấy nước (hoặc 200g thanh hao khô sắc lấy nước, bỏ bã). Lấy 500g gạo nếp hòa vào nước thanh hao nấu thành cơm nếp. Để nguội, rắc men rượu ủ thành rượu. Hàng ngày ăn vào các bữa cơm.","Hòa giải thiếu dương, tán hàn thanh nhiệt.","","","","",""
6,"Chữa Ho Ra Máu","Bột Cây Huệ Khô Nấu Cháo","Ho ra máu (khi ho ít có những sợi máu nhỏ lẫn trong đờm, khi ho nhiều thì thường có cục máu, phần lớn do lao phổi, giãn khí quản...).","Dùng 30g bột cây huệ (tươi thì lượng gấp đôi), 100g gạo, cho vào một ít đường phèn, nấu thành cháo. Ăn vào 2 bữa sáng chiều.","","","","Thích hợp chữa trị phổi nóng ho ra máu.","Người già tỳ vị hư hàn không được dùng kéo dài.",""
6,"Chữa Ho Ra Máu","Mộc Nhĩ Trắng, Táo Tàu","Ho ra máu (bệnh trạng như trên).","Lấy 10g mộc nhĩ trắng rửa sạch, ngâm trong nước nóng 4 tiếng. Dùng 100g gạo tẻ, 5 quả táo, cho nước vừa đủ, đun sôi, sau đó cho mộc nhĩ, đường phèn vào nấu thành cháo. Ăn cháo vào 2 buổi sáng, chiều.","Chữa lao, ho ra máu.","Những người bị phong hàn cảm mạo tạm ngừng sử dụng bài thuốc này.","","","",""
6,"Chữa Ho Ra Máu","Rễ Cỏ Tranh, Nước Ngó Sen","Ho ra máu (bệnh trạng như trên).","Dùng 150g rễ cỏ tranh tươi thái nhỏ, 200g ngó sen tươi thái lát. Sắc lấy nước uống. Mỗi ngày uống 1-5 lần. Những người đi ỉa lỏng, giảm lượng rễ cỏ tranh, cho vào 30g bột sơn dược, cho vào nước thuốc sắc lên, uống thay nước chè.","Chữa trị lao lực, ho trong đờm có máu. Những người máu nóng, ho ra máu nhiều thì thêm vào 100g rễ cây đại kế.","","","","",""
6,"Chữa Ho Ra Máu","Nam Hạnh Nhân, Tang Bạch (Vỏ Rễ Dâu) Nấu Với Phổi Lợn","Lao phổi ho ra máu.","Mỗi lần dùng 15-20g hạnh nhân, đường 15g, vỏ rễ cây dâu 15g, phổi lợn 150g. Ninh nhừ, ăn vào 2 bữa cơm.","Mát phổi, khỏi ra máu.","Không dùng hạnh nhân trắng (bắc hạnh nhân).","","","",""
6,"Chữa Ho Ra Máu","Bạng Lan Hoa, Thịt Lợn Nạc","Bệnh lao phổi ho ra máu.","Mỗi lần dùng 30g bạng lan hoa, 150g thịt lợn nạc. Ninh nhừ, cho muối vào ăn cái, uống nước.","Bổ phổi, tiêu đờm, giảm sốt, khỏi ho, mát máu, ngừng chảy máu.","","","","",""
6,"Chữa Ho Ra Máu","Hoài Sơn, Phổi Lợn","Lao phổi ho trong đờm có máu.","Mỗi lần dùng 60g hoài sơn, 150g phổi lợn. Cho nước, muối vừa đủ, ninh nhừ ăn.","Bổ tỳ, phổi, tiêu đờm, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Mộc Nhĩ, Đường Phèn","Lao phổi ho ra máu.","Mỗi lần dùng 10-15g mộc nhĩ, rửa sạch ngâm vào nước sôi khoảng 1 tiếng. Mộc nhĩ trộn với đường phèn, hấp cách thủy từ 2-3 tiếng. Ăn mộc nhĩ, uống nước.","Bổ âm, nhuận phổi, sinh huyết, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Đông Trùng Hạ Thảo, Vịt Hấp Cách Thủy","Lao phổi, ho trong đờm có máu.","Mỗi lần dùng 1 con vịt, làm sạch, bỏ ruột, lấy 10-12g đông trùng hạ thảo, rửa sạch cho vào bụng vịt. Hấp cách thủy cho đến khi chín nhừ, cho ít muối vào. Ăn thịt, uống nước.","Mát bổ tim phổi, tiêu đờm, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Sa Sâm, Đông Trùng Hạ Thảo, Thịt Rùa","Lao phổi ho ra máu.","Mỗi lần dùng 60g sa sâm, 10g đông trùng hạ thảo, 1 đến 2 con rùa đen. Rùa làm thịt, bỏ ruột, gan, để nguyên mai rùa, ninh nhừ với sâm, đông trùng hạ thảo. Cho ít muối, dầu vào. Ăn thịt uống nước.","Bổ âm, bổ máu, bổ phổi, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Sa Sâm, Trứng Gà","Lao phổi ho ra máu.","Mỗi lần dùng 30g sa sâm, 2 quả trứng gà, cho vào 2 bát nước đun sôi, trứng chín, bóc bỏ vỏ, tiếp tục đun sôi nửa tiếng nữa, cho đường hoặc đường trắng vào quấy đều. Ăn trứng, uống nước.","Bổ âm, mát phổi, tiêu đờm, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Hoàng Tinh, Đường Phèn","Lao phổi, ho ra máu.","Mỗi lần dùng 30-60g hoàng tinh, 30-50g đường phèn, cho vào 1 bát nước, hấp cách thủy 2 tiếng, uống nước.","Mát tim phổi, khỏi ho, cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Tam Thất, Ngó Sen, Trứng Gà","Lao phổi ho ra máu.","Mỗi lần dùng 1 quả trứng gà, đập vào cái bát, cho vào 30g nước ngó sen, 3g bột tam thất, một ít đường trắng, quấy đều. Hấp cách thủy cho đến khi chín.","Mát phổi cầm máu.","","","","",""
6,"Chữa Ho Ra Máu","Tổ Yến, Bạch Cập","Ho ra máu.","Tổ yến, bạch cập mỗi thứ 6g. Đun nhỏ lửa hầm kỹ. Lọc chắt lấy nước, cho đường phèn vào hấp tiếp ít phút. Hàng ngày vào mỗi buổi sáng, chiều uống 1 lần.","","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Ngó Sen, Trắc Bách Diệp","Thổ huyết (nôn ra máu, thường có màu đỏ sẫm, có lẫn cặn bã thức ăn, vì máu từ trong dạ dày ra, phần lớn do trong dạ dày tích nhiệt, hoặc gan nóng ảnh hưởng đến dạ dày. Loét dạ dày chảy máu và thực quản chảy máu đều thuộc loại này).","Ngó sen tươi 500g, trắc bách diệp 100g, giã nát vắt lấy nước, hòa với nước sôi uống. Mỗi ngày uống 3-4 lần.","Điều trị có hiệu quả đối với chứng vị nhiệt xuất huyết (dạ dày).","Những người vị hàn (dạ lạnh) không được dùng. Cầm máu rồi thì không được điều trị tiếp.","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Trắc Bách Diệp, Gạo Tẻ","Thổ huyết (bệnh trạng như trên).","Dùng 500g trắc bách diệp, rửa sạch, giã chắt lấy nước, cho vào gạo tẻ nấu cháo. Cháo chín cho vào ít đường đỏ, quấy đều, ăn hết 1 lần.","Khỏi nôn ra máu, ỉa ra máu.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Lá Sen, Đường Phèn","Thổ huyết (bệnh trạng như trên).","Dùng 1 lá sen tươi to, giã vắt lấy nước, hòa với đường phèn. Mỗi lần uống 150-200ml, ngày uống 3 lần.","Mát máu, cầm máu.","","","Thích hợp với người thổ huyết do máu nhiệt.","",""
7,"Trị Thổ Huyết, Xuất Huyết","Tam Thất, Ngó Sen, Trứng Gà","Thổ huyết (bệnh trạng như trên).","Ngó sen tươi, vắt lấy 1 cốc nước, cho thêm nước lã, đem đun sôi. Cho vào 5g bột tam thất, 1 quả trứng gà, một ít muối, quấy đều, đem đun sôi là được. Ăn vào 2 bữa cơm hàng ngày. Người bị chảy máu dạ dày, uống nóng là tốt nhất.","Cầm máu, mát máu, tiêu đờm.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Bánh Bột Nếp, Ngó Sen","Thổ huyết (thổ huyết thường xuyên hoặc lúc ho mới thổ).","Bột ngó sen, bột gạo nếp, đường trắng mỗi thứ 250g. Cho nước vừa đủ, nhào bột, làm thành bánh. Hấp chín.","Mát máu, cầm máu.","","","","","Còn có tác dụng chữa thổ huyết, đại tiểu tiện ra máu, đổ máu mũi, suy nhược, kém ăn..."
7,"Trị Thổ Huyết, Xuất Huyết","Ngó Sen, Mật Ong","Chảy máu (chảy máu thường xuyên, không phải do vết thương bên ngoài, thường là chảy máu chân răng, chảy máu mũi, chảy máu dưới da... Bệnh trạng: da xanh xao, nhức đầu, tim đập loạn nhịp, mệt mỏi, nhạt miệng, mạch yếu).","Ngó sen tươi ép lấy 150ml nước, cho vào 30g mật ong, quấy đều uống. Mỗi ngày uống 2 lần. Điều trị liên tục nhiều ngày.","Khỏi bệnh chảy máu mũi, già trẻ đều dùng được, không phải kiêng kỵ gì.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Canh Cải Hoa Vàng và Rễ Cỏ Tranh","Chảy máu (bệnh trạng như trên).","Hoa cải vàng (khô) 100g, rễ cỏ tranh 50g. Cho vào 200ml nước, sắc kỹ lấy nước uống. Mỗi ngày uống 2-3 lần.","Chữa khỏi nôn ra máu, ho ra máu.","Bài thuốc có vị hoa cải vàng khô, những người hay bị dị ứng không nên dùng.","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Nước Củ Cải, Đường Phèn","Nôn ra máu (bệnh trạng như trên).","Củ cải trắng rửa sạch, ép ra nước, cho đường phèn vừa đủ, quấy đều. Mỗi lần uống 100ml. Mỗi ngày uống 3 lần.","Những người suy nhược, mắc chứng huyết dịch khi bị chảy máu mũi không được dùng bài thuốc này.","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Canh Đậu Phụ, Thạch Cao","Nôn ra máu (bệnh trạng như trên).","Thạch cao sống 500g, đậu phụ 200g. Cho vào 500ml nước, quấy đều, đun sôi trong 1 tiếng. Cho ít muối vào. Ăn đậu phụ, uống nước canh.","Cầm máu.","Những người sốt không nên dùng.","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Bì Lợn, Táo Tàu","Chảy máu (bệnh trạng như trên).","Lấy 500g bì lợn tươi, nước vừa đủ, nấu thành canh, cho vào 250g táo. Đun nhỏ lửa. Khi bì lợn chín nhừ, cho vào ít đường. Mỗi ngày ăn 1 lần.","Chữa khỏi chảy máu chân răng, chảy máu cam, chảy máu dưới da do tiểu cầu giảm hay bệnh máu chậm đông gây ra. Nhưng phải điều trị thường xuyên, 1/2 năm 1 liệu trình.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Ngó Sen, Táo Tàu, Cây Tế Thải","Xuất huyết (bệnh trạng như trên).","Rau tế thải tươi 60g, ngó sen tươi 20g, táo 5 quả. Cho vào 2 bát nước sắc lấy 1 bát. Ăn táo uống nước; Mỗi ngày 2 lần.","Chữa khỏi chảy máu mũi, chảy máu chân răng do huyết hư, sinh nhiệt gây ra.","","","","Người lớn, trẻ đều dùng được, không phải kiêng.",""
7,"Trị Thổ Huyết, Xuất Huyết","Ấu Trùng Ong, Đường Trắng","Xuất huyết.","Dùng 3-5 con ấu trùng ong, một ít đường trắng. Ấu trùng chấm đường ăn. Ăn 1-2 lần sẽ khỏi bệnh.","","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Uống Tiết Dê","Xuất huyết.","Tiết dê uống nóng 1-2 cốc nhỏ.","Các loại xuất huyết đều khỏi.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Bạch Cập, Bao Trứng Bọ Ngựa","Xuất huyết.","Bao trứng sao vàng tán thành bột. Mỗi lần dùng 3g; mỗi ngày 3 lần. Dùng 18g bạch cập, sắc lấy nước. Bột bọ ngựa uống với nước bạch cập.","Chữa xuất huyết dạ dày, phổi đều có hiệu quả.","","","","",""
7,"Trị Thổ Huyết, Xuất Huyết","Cá Mực","Xuất huyết.","Lấy nước đen trong túi cá mực, đun rất nhỏ lửa, cô lấy bột. Mỗi lần uống 1-2g. Mỗi ngày uống 3 lần.","Xuất huyết dạ dày, xuất huyết bệnh phụ khoa đều dùng có kết quả.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Ngó Sen, Lá Hẹ","Chảy máu mũi.","Nước ngó sen 1 cốc, nước lá hẹ 1 cốc. Hâm nóng, uống hết 1 lần.","Thanh nhiệt, điều hòa máu, cầm máu.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Cá Nheo Hấp Xôi","Chảy máu mũi.","Dùng 3 con cá nheo, 200g gạo nếp. Trước hết đem gạo nếp thổi xôi. Cá nheo rửa sạch bỏ ruột, hấp trên nồi xôi. Khi chín nhừ, ăn nóng.","Mát máu, cầm máu.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Rễ Cỏ Tranh, Nước Mía","Chảy máu mũi.","Mỗi lần dùng 50-120g rễ cỏ tranh, 100-130g mía. Sắc lấy nước uống, thay nước chè.","Mát máu, cầm máu.","","","","Nếu người có mắc chứng viêm thận, thì dùng đoạn mía còn bọc trong lá là tốt nhất.",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Cá Nheo Hầm Với Đậu Đen","Chảy máu mũi.","Cá nheo vài con, đậu đen 50-100g; nấu chín ăn nóng.","","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Đường Trắng, Trứng Gà","Chảy máu mũi.","Trứng gà vỏ trắng 2 quả, đường trắng 50g. Quấy đều, đun sôi. Mỗi ngày uống 2 lần.","","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Xơ Mướp","Mũi ung nhọt, chảy nước vàng mùi hôi.","Dùng 2 quả xơ mướp, sao vàng tán thành bột. Mỗi lần uống 15g. Hàng ngày uống với nước sôi vào 2 buổi sáng, chiều.","Giải độc, tan nhọt.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Tam Hoa, Nhị Tử Thang","Viêm mũi.","Hoa kim ngân, hoa hoàn phụ, hoa tân di, thương nhĩ tử, man kinh tử mỗi loại 10g. Sắc kỹ, lấy nước uống. Mỗi lần uống 1 thang, uống liên tục 2-3 lần.","Giải độc, tiêu viêm.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Hoa Tân Di, Trứng Gà","Viêm mũi mạn tính.","Mỗi lần dùng 10-12g hoa tân di, 2 quả trứng gà. Trứng gà luộc chín, bóc bỏ vỏ, thái lát, nấu lẫn với hoa tân di.","Giải độc, tiêu viêm.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Cỏ Phượng Vĩ, Hải Đới","Máu nóng, chảy máu mũi.","Mỗi lần dùng 30g cỏ phượng vĩ tươi, 30g hải đới. Cho vào 3 bát nước, sắc lấy 1 bát, cho vào một ít muối. Uống hết trong ngày.","Thanh nhiệt, mát máu.","","","","",""
8,"Chữa Chảy Máu Mũi, Viêm Mũi","Tổ Ong","Viêm mũi.","Lấy 1 miếng tổ ong, nhai thường xuyên, cứ nhai 10 phút lại nhả bã ra. Mỗi ngày nhai 3 lần.","","","","","",""
9,"Chữa Đi Ỉa Ra Máu","Sơn Dược, Tam Thất, Long Nhãn, Gừng Nướng","Đi ỉa ra máu do hư hàn (tỳ vị hư hàn, không thông huyết, máu chảy trong ruột, do ỉa trước ra máu sau, máu có màu sẫm, da xanh xao, thần sắc mệt mỏi, đau bụng, ỉa lỏng, nhạt miệng mạch vi).","Dùng 100g sơn dược giã nát, 20g long nhãn, 6g gừng nướng, 10g bột tam thất, cho gừng, long nhãn vào nấu sôi trong 30 phút, vớt bã gừng ra, tiếp tục cho sơn dược, tam thất vào đun nhỏ lửa, sắc kỹ. Mỗi ngày uống 2-3 lần.","Chữa khỏi bệnh ỉa ra máu do tỳ vị hư hàn.","Bài thuốc dược tính thiên về ôn, nên những người ỉa ra máu do thấp nhiệt không được dùng bài thuốc này.","","","",""
9,"Chữa Đi Ỉa Ra Máu","Mộc Nhĩ, Táo Tàu, Gạo Tẻ","Đi ỉa ra máu do thấp nhiệt (thường hay uống rượu, ăn cay, thấp nhiệt chứa trữ bên trong tích nhiệt dẫn đến đại tràng, đốt nóng thần kinh thông ruột, chảy máu trước đi ỉa sau, máu màu đỏ, miệng khô, bựa lưỡi vàng, mạch nhu).","Lấy mộc nhĩ đen 30g, ngâm nước sôi trong 1 tiếng. Lấy 100g gạo tẻ, 5 quả táo và một ít đường đỏ, cho mộc nhĩ đã ngâm rửa sạch vào và nấu thành cháo. Ăn vào 2 bữa sáng, chiều.","Bổ tỳ, cầm máu.","Những người bị phong hàn cảm mạo, ho không được dùng bài thuốc này.","","","",""
9,"Chữa Đi Ỉa Ra Máu","Mộc Nhĩ Đen, Táo Tàu","Đi ỉa ra máu do thấp nhiệt (bên trong như trên).","Mộc nhĩ đen 15-30g, táo 20-30 quả. Sắc lấy nước uống, mỗi ngày 1 lần. Điều trị liên tục nhiều ngày.","Chữa đi ỉa ra máu, bệnh trĩ chảy máu đều có hiệu quả.","Những người phong hàn cảm mạo không được dùng bài thuốc này.","","","",""
9,"Chữa Đi Ỉa Ra Máu","Hoa Mào Gà Trắng, Trứng Om-lết","Đi ỉa ra máu do thấp nhiệt (bệnh trạng như trên).","Hoa mào gà trắng 30g, cho vào 500ml nước, sắc lấy 300ml, bỏ bã. Lấy 1 quả trứng gà đập vào thành trứng om-lết, cho vào một ít đường trắng. Mỗi ngày ăn 1 lần. Điều trị liên tục nhiều ngày (5-6 ngày).","Khỏi chứng đi ỉa cả ra máu.","","","","",""
